"Duration (sec)","From Object","To Object"
60.000,"From Sensor Sensor34","To Sensor Sensor23"
60.000,"From Sensor Sensor34","To Sensor Sensor24"
60.000,"From Sensor Sensor34","To Sensor Sensor25"
60.000,"From Sensor Sensor34","To Sensor Sensor26"
60.000,"From Sensor Sensor34","To Sensor Sensor27"
60.000,"From Sensor Sensor34","To Sensor Sensor28"
60.000,"From Sensor Sensor34","To Sensor Sensor31"
60.000,"From Sensor Sensor34","To Sensor Sensor32"
60.000,"From Sensor Sensor34","To Sensor Sensor36"
60.000,"From Sensor Sensor34","To Sensor Sensor37"
60.000,"From Sensor Sensor35","To Sensor Sensor11"
60.000,"From Sensor Sensor35","To Sensor Sensor12"
60.000,"From Sensor Sensor35","To Sensor Sensor13"
60.000,"From Sensor Sensor35","To Sensor Sensor14"
60.000,"From Sensor Sensor35","To Sensor Sensor15"
60.000,"From Sensor Sensor35","To Sensor Sensor16"
60.000,"From Sensor Sensor35","To Sensor Sensor17"
60.000,"From Sensor Sensor35","To Sensor Sensor18"
60.000,"From Sensor Sensor35","To Sensor Sensor21"
60.000,"From Sensor Sensor35","To Sensor Sensor22"
60.000,"From Sensor Sensor35","To Sensor Sensor25"
60.000,"From Sensor Sensor35","To Sensor Sensor26"
60.000,"From Sensor Sensor35","To Sensor Sensor32"
60.000,"From Sensor Sensor35","To Sensor Sensor33"
60.000,"From Sensor Sensor35","To Sensor Sensor37"
60.000,"From Sensor Sensor35","To Sensor Sensor38"
60.000,"From Sensor Sensor36","To Sensor Sensor11"
60.000,"From Sensor Sensor36","To Sensor Sensor12"
60.000,"From Sensor Sensor36","To Sensor Sensor13"
60.000,"From Sensor Sensor36","To Sensor Sensor14"
60.000,"From Sensor Sensor36","To Sensor Sensor15"
60.000,"From Sensor Sensor36","To Sensor Sensor17"
60.000,"From Sensor Sensor36","To Sensor Sensor18"
60.000,"From Sensor Sensor36","To Sensor Sensor21"
60.000,"From Sensor Sensor36","To Sensor Sensor22"
60.000,"From Sensor Sensor36","To Sensor Sensor23"
60.000,"From Sensor Sensor36","To Sensor Sensor25"
60.000,"From Sensor Sensor36","To Sensor Sensor26"
60.000,"From Sensor Sensor36","To Sensor Sensor31"
60.000,"From Sensor Sensor36","To Sensor Sensor33"
60.000,"From Sensor Sensor36","To Sensor Sensor34"
60.000,"From Sensor Sensor36","To Sensor Sensor38"
60.000,"From Sensor Sensor37","To Sensor Sensor11"
60.000,"From Sensor Sensor37","To Sensor Sensor13"
60.000,"From Sensor Sensor37","To Sensor Sensor14"
60.000,"From Sensor Sensor37","To Sensor Sensor18"
60.000,"From Sensor Sensor37","To Sensor Sensor21"
60.000,"From Sensor Sensor37","To Sensor Sensor22"
60.000,"From Sensor Sensor37","To Sensor Sensor23"
60.000,"From Sensor Sensor37","To Sensor Sensor24"
60.000,"From Sensor Sensor37","To Sensor Sensor25"
60.000,"From Sensor Sensor37","To Sensor Sensor26"
60.000,"From Sensor Sensor37","To Sensor Sensor27"
60.000,"From Sensor Sensor37","To Sensor Sensor28"
60.000,"From Sensor Sensor37","To Sensor Sensor31"
60.000,"From Sensor Sensor37","To Sensor Sensor32"
60.000,"From Sensor Sensor37","To Sensor Sensor34"
60.000,"From Sensor Sensor37","To Sensor Sensor35"
60.000,"From Sensor Sensor38","To Sensor Sensor11"
60.000,"From Sensor Sensor38","To Sensor Sensor13"
60.000,"From Sensor Sensor38","To Sensor Sensor14"
60.000,"From Sensor Sensor38","To Sensor Sensor18"
60.000,"From Sensor Sensor38","To Sensor Sensor21"
60.000,"From Sensor Sensor38","To Sensor Sensor22"
60.000,"From Sensor Sensor38","To Sensor Sensor23"
60.000,"From Sensor Sensor38","To Sensor Sensor24"
60.000,"From Sensor Sensor38","To Sensor Sensor25"
60.000,"From Sensor Sensor38","To Sensor Sensor26"
60.000,"From Sensor Sensor38","To Sensor Sensor27"
60.000,"From Sensor Sensor38","To Sensor Sensor28"
60.000,"From Sensor Sensor38","To Sensor Sensor32"
60.000,"From Sensor Sensor38","To Sensor Sensor33"
60.000,"From Sensor Sensor38","To Sensor Sensor35"
60.000,"From Sensor Sensor38","To Sensor Sensor36"

